zipcode,model,order,sorder,trend,AIC,BIC,CV_RMSE
20024,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000001E1A32BBB00>,"(0, 0, 0)","(0, 0, 0, 12)",,6129.861245308401,6133.213103441876,607329.8812014693
20024,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000001E1A32BB898>,"(0, 0, 0)","(0, 0, 1, 12)",,5667.477413588111,5674.06402323756,568357.6162530647
20024,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000001E1A372A898>,"(0, 0, 0)","(0, 0, 2, 12)",,9346.836229531806,9356.529555382369,793475.864791088
20024,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000001E1A3743C18>,"(0, 0, 0)","(0, 1, 0, 12)",,4863.614911328317,4866.908216153041,128568.42172988832
20024,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000001E1A36EA4A8>,"(0, 0, 0)","(0, 1, 1, 12)",,4583.375050775872,4589.837268009582,128565.01028480227
20024,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000001E1A36EAE80>,"(0, 0, 0)","(0, 1, 2, 12)",,4310.479533555486,4319.973891477257,42637741.90142342
20024,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000001E1A32BB390>,"(0, 0, 0)","(1, 0, 0, 12)",,4853.671889097421,4860.268523830517,122070.76840722181
20024,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000001E1A36EA6D8>,"(0, 0, 0)","(1, 0, 1, 12)",,4824.338630892225,4834.218545366399,116270.86782248798
20024,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000001E1A374B2B0>,"(0, 0, 0)","(1, 0, 2, 12)",,7216.222019609456,7229.146454076874,23896109.47828353
20024,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000001E1A369B9E8>,"(0, 0, 0)","(1, 1, 0, 12)",,4555.476965515551,4561.94984944121,109441.46021028644
