zipcode,model,order,sorder,trend,AIC,BIC,CV_RMSE
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF749D240>,"(0, 0, 0)","(0, 0, 0, 12)",,5924.200220789597,5927.552078923072,395446.36203212285
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF74482B0>,"(0, 0, 0)","(0, 0, 1, 12)",,5473.932058774673,5480.518668424123,379657.9903891966
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF74485C0>,"(0, 0, 0)","(0, 0, 2, 12)",,8709.065348401155,8718.758674251718,28449668.769348457
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7448F28>,"(0, 0, 0)","(0, 1, 0, 12)",,4739.7342855402585,4743.027590364983,99050.90118903163
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7361F98>,"(0, 0, 0)","(0, 1, 1, 12)",,4466.921370528442,4473.383587762151,99035.73259674397
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7361940>,"(0, 0, 0)","(0, 1, 2, 12)",,4046.550551101899,4056.04490902367,454366188.41090083
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF74A95C0>,"(0, 0, 0)","(1, 0, 0, 12)",,4715.978581845242,4722.575216578338,104807.83207076587
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF74A9128>,"(0, 0, 0)","(1, 0, 1, 12)",,4644.949145949446,4654.829060423619,93126.0580748598
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7448978>,"(0, 0, 0)","(1, 0, 2, 12)",,5198.724720922773,5211.649155390191,25289671.739893783
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7448E80>,"(0, 0, 0)","(1, 1, 0, 12)",,4305.542929723528,4312.015813649187,198398.07829947316
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF787CCC0>,"(0, 0, 0)","(1, 1, 1, 12)",,4285.265802759624,4294.959128610189,199128.69219538156
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF787C1D0>,"(0, 0, 0)","(1, 1, 2, 12)",,4756.792353718369,4769.451497614063,811457624.8208394
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7895F98>,"(0, 0, 0)","(2, 0, 0, 12)",,4304.527107600716,4314.236433489205,188635.51627785814
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7895BA8>,"(0, 0, 0)","(2, 0, 1, 12)",,4585.4327265269185,4598.378494378238,85698175.38107097
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF787CF98>,"(0, 0, 0)","(2, 0, 2, 12)",,6603.929670261746,6620.0852133460185,27112267.658604477
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7AF7160>,"(0, 0, 0)","(2, 1, 0, 12)",,3989.5806195960567,3999.0920715811712,251047.53020341447
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7AF7C50>,"(0, 0, 0)","(2, 1, 1, 12)",,3991.7904762342973,4004.47241221445,246894.64209210855
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF787C278>,"(0, 0, 0)","(2, 1, 2, 12)",,4653.269302818648,4669.093232688265,42932158.27638334
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF790E0F0>,"(0, 0, 1)","(0, 0, 0, 12)",,16519.096684684773,16525.790899746207,394838.01061074866
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF78958D0>,"(0, 0, 1)","(0, 0, 1, 12)",,5383.651825472229,5393.516626564312,929395.1340664558
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7AF74E0>,"(0, 0, 1)","(0, 0, 2, 12)",,8078.0579325387735,8090.960919233627,28300635.69430428
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7B0F9B0>,"(0, 0, 1)","(0, 1, 0, 12)",,4583.534683324631,4590.11121738602,97683.67345323926
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7B0FD68>,"(0, 0, 1)","(0, 1, 1, 12)",,6622.196076701259,6631.873316722398,153540.44211263218
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7B0F320>,"(0, 0, 1)","(0, 1, 2, 12)",,4978.059074643036,4990.695295839894,16273269625.157686
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7BACC88>,"(0, 0, 1)","(1, 0, 0, 12)",,5804.0991858726575,5813.994137972301,88859.94009616319
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7895208>,"(0, 0, 1)","(1, 0, 1, 12)",,5687.81767424602,5700.970742368798,84348.52478336361
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF790EFD0>,"(0, 0, 1)","(1, 0, 2, 12)",,7948.378821991072,7964.507555359638,29864691.70962178
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7B939E8>,"(0, 0, 1)","(1, 1, 0, 12)",,4315.48494667497,4325.19427256346,170295.76560361532
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7B5D588>,"(0, 0, 1)","(1, 1, 1, 12)",,6765.168916974383,6778.071903669236,1585382823960.665
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7B5D3C8>,"(0, 0, 1)","(1, 1, 2, 12)",,4958.697572302282,4974.492848798355,1759808803.9210892
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7B5D898>,"(0, 0, 1)","(2, 0, 0, 12)",,5237.697363010688,5250.643130862008,183882.27314304013
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7B6EA90>,"(0, 0, 1)","(2, 0, 1, 12)",,5274.8262681374,5291.00847795155,248245.94105249198
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7B6E4E0>,"(0, 0, 1)","(2, 0, 2, 12)",,29816.864947605092,29836.21942764737,12436522002.937143
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7B93278>,"(0, 0, 1)","(2, 1, 0, 12)",,4039.3148850724665,4051.996821052619,169835.15370389202
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF70A99E8>,"(0, 0, 1)","(2, 1, 1, 12)",,5069.113988291016,5084.966408266207,7120751909.200562
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF7B6E978>,"(0, 0, 1)","(2, 1, 2, 12)",,4947.921594900241,4966.8759266955285,25949233.484806508
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF775BF28>,"(0, 0, 2)","(0, 0, 0, 12)",,5685.489124422975,5695.516127178869,393563.6334881086
20002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x0000018AF775B358>,"(0, 0, 2)","(0, 0, 1, 12)",,5571.875693518652,5585.008508433604,376543.60596288694
