zipcode,model,order,sorder,trend,AIC,BIC,CV_RMSE
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACB23E48>,"(0, 0, 1)","(2, 0, 0, 12)",,5569.0148479749105,5581.96061582623,286747.8156390242
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA4CCF8>,"(0, 0, 1)","(2, 0, 1, 12)",,5571.013621292246,5587.195831106396,85163427619.87685
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA4C978>,"(0, 0, 1)","(2, 0, 2, 12)",,5687.419451249403,5706.773931291683,15380610.857994998
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACAB0320>,"(0, 0, 1)","(2, 1, 0, 12)",,4358.137534315584,4370.819470295737,297519.63123614783
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA9C400>,"(0, 0, 1)","(2, 1, 1, 12)",,5910.035186622799,5925.88760659799,26826663476870.395
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACAD01D0>,"(0, 0, 1)","(2, 1, 2, 12)",,5663.26870513472,5682.223036930008,548462136.1504927
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA4CEF0>,"(0, 0, 2)","(0, 0, 0, 12)",,6208.017466764621,6218.044469520515,1521220.8879274973
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA865F8>,"(0, 0, 2)","(0, 0, 1, 12)",,2117252.333979993,2117265.466794908,128812226.57809693
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA862E8>,"(0, 0, 2)","(0, 0, 2, 12)",,5634.077014919467,5650.1787940448585,1269086.8141623933
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA79710>,"(0, 0, 2)","(0, 1, 0, 12)",,5395.42289677497,5405.272507961184,179354.10282734098
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA79E10>,"(0, 0, 2)","(0, 1, 1, 12)",,7428.355248889264,7441.236672189577,605555.2530849202
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA86A58>,"(0, 0, 2)","(0, 1, 2, 12)",,5670.082696222818,5685.849154195307,20866928688.54411
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4AC9F65F8>,"(0, 0, 2)","(1, 0, 0, 12)",,6930.01957395528,6943.212843421472,724793373375.8965
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA79A90>,"(0, 0, 2)","(1, 0, 1, 12)",,6169.79529155313,6186.21131019682,2813097156.2984915
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4AC9F6E80>,"(0, 0, 2)","(1, 0, 2, 12)",,5842.197875172281,5861.520010122751,1609000.3932222042
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABE60DA0>,"(0, 0, 2)","(1, 1, 0, 12)",,4738.681078955438,4751.626846806758,620188.2996891103
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABE60C50>,"(0, 0, 2)","(1, 1, 1, 12)",,7278.235168746399,7294.3369478717905,672854424401965.9
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA79828>,"(0, 0, 2)","(1, 1, 2, 12)",,5600.268496586981,5619.188246153968,850467073134.7073
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4AC9E02E8>,"(0, 0, 2)","(2, 0, 0, 12)",,5784.029855413309,5800.212065227459,1025163692.3558614
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4AC9F6710>,"(0, 0, 2)","(2, 0, 1, 12)",,5742.040011355817,5761.458663132797,134502192010.40482
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABE60C88>,"(0, 0, 2)","(2, 0, 2, 12)",,5636.545875821619,5659.088366597168,8667773.70722325
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4AC9E9B70>,"(0, 0, 2)","(2, 1, 0, 12)",,4341.575772056432,4357.4281920316225,693353.5050397784
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA043C8>,"(0, 0, 2)","(2, 1, 1, 12)",,5875.552939281884,5894.575843252113,24935389273065.223
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA049B0>,"(0, 0, 2)","(2, 1, 2, 12)",,6013.8888350856005,6035.961876247085,6190748082786.831
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA049E8>,"(0, 1, 0)","(0, 0, 0, 12)",,4374.715112552029,4378.062220082746,127952.12001618484
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA6F198>,"(0, 1, 0)","(0, 0, 1, 12)",,4104.677948386179,4111.254482447568,102061.75140759887
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4AC9E08D0>,"(0, 1, 0)","(0, 0, 2, 12)",,3856.7970196338238,3866.4742596549636,296549.1896957477
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA6F048>,"(0, 1, 0)","(0, 1, 0, 12)",,4137.838453082574,4141.126720113269,155547.1150573376
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA04D30>,"(0, 1, 0)","(0, 1, 1, 12)",,3878.7451850629504,3885.196678410377,163672.24858521356
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABE60BA8>,"(0, 1, 0)","(0, 1, 2, 12)",,3639.7849395261214,3649.262105423765,354578.3208891437
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABE65390>,"(0, 1, 0)","(1, 0, 0, 12)",,4104.749722912343,4111.336332561792,346686.217926949
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4AC9E0550>,"(0, 1, 0)","(1, 0, 1, 12)",,4086.248200581383,4096.113001673467,353303.20039204723
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABE65710>,"(0, 1, 0)","(1, 0, 2, 12)",,3847.5219423916997,3860.4249290865523,436451.68911848636
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABFBB630>,"(0, 1, 0)","(1, 1, 0, 12)",,3893.741018453422,3900.203235687131,271438.59212507
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA6F400>,"(0, 1, 0)","(1, 1, 1, 12)",,3873.065054547674,3882.742294568814,262792.3680635778
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABFBBEF0>,"(0, 1, 0)","(1, 1, 2, 12)",,3631.144919378448,3643.781140575306,19436614600.593117
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABFB4518>,"(0, 1, 0)","(2, 0, 0, 12)",,3866.53460014345,3876.2279259940137,277428.0055532663
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4AC0AFB70>,"(0, 1, 0)","(2, 0, 1, 12)",,3866.348448692947,3879.2728831603654,253561.3732424145
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABFB4BE0>,"(0, 1, 0)","(2, 0, 2, 12)",,3847.9421915040575,3864.0709248726234,440549.4069053572
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4AC0AF390>,"(0, 1, 0)","(2, 1, 0, 12)",,3643.0711604450316,3652.5655183668023,356326.4568286166
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABFB4D30>,"(0, 1, 0)","(2, 1, 1, 12)",,3643.6592557894205,3656.3183996851144,350407.2033907846
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA6F390>,"(0, 1, 0)","(2, 1, 2, 12)",,3626.6408656584736,3642.4361421545464,323036.6139651379
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABE5CCF8>,"(0, 1, 1)","(0, 0, 0, 12)",,4187.7534363294135,4194.4381048333435,124195.19827792268
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABE65DD8>,"(0, 1, 1)","(0, 0, 1, 12)",,3882.281060536438,3892.130671722652,97106.75853114779
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABE5CF98>,"(0, 1, 1)","(0, 0, 2, 12)",,3708.2293843787024,3721.1108076790156,289766.0656093529
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABF72E10>,"(0, 1, 1)","(0, 1, 0, 12)",,4141.211108428982,4147.777515886458,153891.6923965811
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABF79F98>,"(0, 1, 1)","(0, 1, 1, 12)",,3729.4310078864933,3739.0920753617283,160697.68849634432
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABF72C50>,"(0, 1, 1)","(0, 1, 2, 12)",,3496.85476466806,3509.467931046051,748690.1637307407
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABE5CC18>,"(0, 1, 1)","(1, 0, 0, 12)",,3993.476453779506,4003.356368253679,123557.3228511859
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABF79978>,"(0, 1, 1)","(1, 0, 1, 12)",,3946.496641027228,3959.6294559421804,192522.7054173228
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABE53668>,"(0, 1, 1)","(1, 0, 2, 12)",,3710.2960701944176,3726.397849319809,318356.22692178655
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABF8AA20>,"(0, 1, 1)","(1, 1, 0, 12)",,3805.629852180803,3815.3231780313668,195159.25043774815
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABF79D30>,"(0, 1, 1)","(1, 1, 1, 12)",,3765.3150426480474,3778.1964659483606,234600.87732958913
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABF8AB38>,"(0, 1, 1)","(1, 1, 2, 12)",,3503.8790584883773,3519.645516460866,4144205562.9618764
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4AC0A4748>,"(0, 1, 1)","(2, 0, 0, 12)",,3747.7965153528294,3760.720949820248,345643.0570673615
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABF8A160>,"(0, 1, 1)","(2, 0, 1, 12)",,3691.491226925561,3707.6467700098337,401125.7916375594
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABF79D68>,"(0, 1, 1)","(2, 0, 2, 12)",,3712.278272046551,3731.6004069970213,165548317242.75677
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABFDA588>,"(0, 1, 1)","(2, 1, 0, 12)",,3515.4968048069345,3528.1559487026284,242972.7926189346
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4AC0609E8>,"(0, 1, 1)","(2, 1, 1, 12)",,3516.967619113151,3532.7915489827687,233299.52775896084
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABFDAAC8>,"(0, 1, 1)","(2, 1, 2, 12)",,3477.2139426250296,3496.1336921920165,334392.87981224037
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4AC0600B8>,"(0, 1, 2)","(0, 0, 0, 12)",,4096.889504486773,4106.902118725877,123477.25994312238
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABA32240>,"(0, 1, 2)","(0, 0, 1, 12)",,3864.7571518653363,3877.869610502258,98947.79352824725
