zipcode,order,sorder,trend,AIC,BIC,CVRMSE
20002,"(0, 1, 1)","(0, 0, 0, 12)",,3803.8,3810.5,81977.0
20002,"(0, 1, 1)","(0, 0, 1, 12)",,3391.7,3401.5,69955.1
20002,"(0, 1, 1)","(0, 0, 2, 12)",,3170.1,3183.0,25040008.6
20002,"(0, 1, 1)","(0, 1, 0, 12)",,3482.8,3489.4,84422.6
20002,"(0, 1, 1)","(0, 1, 1, 12)",,3194.7,3204.4,83212.4
20002,"(0, 1, 1)","(0, 1, 2, 12)",,3037.4,3050.0,37850991.8
20002,"(0, 1, 1)","(1, 0, 0, 12)",,3515.9,3525.8,86450.7
20002,"(0, 1, 1)","(1, 0, 1, 12)",,3383.4,3396.5,140006.2
20002,"(0, 1, 1)","(1, 0, 2, 12)",,3167.4,3183.6,25062976.8
20002,"(0, 1, 1)","(1, 1, 0, 12)",,3276.9,3286.6,84136.5
20002,"(0, 1, 1)","(1, 1, 1, 12)",,3243.5,3256.3,83264.2
20002,"(0, 1, 1)","(1, 1, 2, 12)",,2993.6,3009.4,25071299.3
20002,"(0, 1, 1)","(2, 0, 0, 12)",,3206.5,3219.5,127685.1
20002,"(0, 1, 1)","(2, 0, 1, 12)",,3200.7,3216.9,142787.7
20002,"(0, 1, 1)","(2, 0, 2, 12)",,3165.7,3185.0,25038190.9
20002,"(0, 1, 1)","(2, 1, 0, 12)",,3071.8,3084.4,82233.1
20002,"(0, 1, 1)","(2, 1, 1, 12)",,3073.6,3089.4,83296.4
20002,"(0, 1, 1)","(2, 1, 2, 12)",,2994.3,3013.3,25058132.3
20002,"(0, 1, 2)","(0, 0, 0, 12)",,3471.2,3481.2,79836.9
20002,"(0, 1, 2)","(0, 0, 1, 12)",,3209.8,3222.9,69621.2
20002,"(0, 1, 2)","(0, 0, 2, 12)",,3008.1,3024.2,25041179.4
20002,"(0, 1, 2)","(0, 1, 0, 12)",,3310.5,3320.4,82774.4
20002,"(0, 1, 2)","(0, 1, 1, 12)",,3030.1,3043.0,13109179277.9
20002,"(0, 1, 2)","(0, 1, 2, 12)",,2833.8,2849.6,38151690.4
20002,"(0, 1, 2)","(1, 0, 0, 12)",,3323.9,3337.1,80153.9
20002,"(0, 1, 2)","(1, 0, 1, 12)",,3204.0,3220.3,133538.9
20002,"(0, 1, 2)","(1, 0, 2, 12)",,3003.1,3022.4,25147053.3
20002,"(0, 1, 2)","(1, 1, 0, 12)",,3268.1,3281.0,82618.8
20002,"(0, 1, 2)","(1, 1, 1, 12)",,3169.7,3185.8,2.18160072966407e+28
20002,"(0, 1, 2)","(1, 1, 2, 12)",,2835.8,2854.7,25072013.8
20002,"(0, 1, 2)","(2, 0, 0, 12)",,3050.6,3066.7,124425.0
20002,"(0, 1, 2)","(2, 0, 1, 12)",,3050.9,3070.3,125133.6
20002,"(0, 1, 2)","(2, 0, 2, 12)",,3004.9,3027.4,25109239.4
20002,"(0, 1, 2)","(2, 1, 0, 12)",,2883.9,2899.7,81655.9
20002,"(0, 1, 2)","(2, 1, 1, 12)",,3013.3,3032.3,81796.1
20002,"(0, 1, 2)","(2, 1, 2, 12)",,2964.4,2986.4,25052088.5
20002,"(1, 0, 0)","(0, 0, 0, 12)",,3936.8,3943.5,98320.8
20002,"(1, 0, 0)","(0, 0, 1, 12)",,3644.4,3654.2,93033.1
20002,"(1, 0, 0)","(0, 0, 2, 12)",,3413.6,3426.5,25072428.7
20002,"(1, 0, 0)","(0, 1, 0, 12)",,3649.5,3656.0,134587.4
20002,"(1, 0, 0)","(0, 1, 1, 12)",,3440.9,3450.6,133541.4
20002,"(1, 0, 0)","(0, 1, 2, 12)",,3231.3,3243.9,1.881331193967178e+52
20002,"(1, 0, 0)","(1, 0, 0, 12)",,3638.2,3648.1,118436.9
20002,"(1, 0, 0)","(1, 0, 1, 12)",,3645.7,3658.8,117458.5
20002,"(1, 0, 0)","(1, 0, 2, 12)",,3539.7,3555.8,25111923.8
20002,"(1, 0, 0)","(1, 1, 0, 12)",,3438.2,3447.9,173561.1
20002,"(1, 0, 0)","(1, 1, 1, 12)",,3441.9,3454.8,171613.4
20002,"(1, 0, 0)","(1, 1, 2, 12)",,3230.0,3245.8,4.654918415931842e+146
20002,"(1, 0, 0)","(2, 0, 0, 12)",,3410.2,3423.1,104122.8
20002,"(1, 0, 0)","(2, 0, 1, 12)",,3463.7,3479.9,99439.5
20002,"(1, 0, 0)","(2, 0, 2, 12)",,3416.8,3436.1,25060020.2
20002,"(1, 0, 0)","(2, 1, 0, 12)",,3229.2,3241.9,197116.9
20002,"(1, 0, 0)","(2, 1, 1, 12)",,3232.2,3248.0,337102.0
20002,"(1, 0, 0)","(2, 1, 2, 12)",,3223.4,3242.4,25251919.6
20002,"(1, 0, 1)","(0, 0, 0, 12)",,3758.3,3768.4,97578.4
20002,"(1, 0, 1)","(0, 0, 1, 12)",,3528.1,3541.3,93086.1
20002,"(1, 0, 1)","(0, 0, 2, 12)",,3542.9,3559.0,25150996.4
20002,"(1, 0, 1)","(0, 1, 0, 12)",,3711.8,3721.6,132027.4
20002,"(1, 0, 1)","(0, 1, 1, 12)",,3207.9,3220.8,3087485775.7
20002,"(1, 0, 1)","(0, 1, 2, 12)",,3027.9,3043.7,916474328.6
20002,"(1, 0, 1)","(1, 0, 0, 12)",,3567.1,3580.3,98123.0
20002,"(1, 0, 1)","(1, 0, 1, 12)",,3530.1,3546.6,93096.1
20002,"(1, 0, 1)","(1, 0, 2, 12)",,3317.5,3336.8,25080131.9
20002,"(1, 0, 1)","(1, 1, 0, 12)",,3282.7,3295.6,124755.5
20002,"(1, 0, 1)","(1, 1, 1, 12)",,3267.0,3283.1,139565.9
20002,"(1, 0, 1)","(1, 1, 2, 12)",,3062.6,3081.6,1841821830.1
20002,"(1, 0, 1)","(2, 0, 0, 12)",,3335.8,3351.9,116452.5
